title,creator,date,description,original_url,europeana_link,id,type,provider,data_provider,country,language,search_term
Paisages [sic],,{'def': '19. Jahrhundert'}; {'def': '1800-luku'}; {'def': 'XIX век'}; {'def': 'Século XIX'}; {'def': '19 век'}; {'def': 'XIX amžius'}; {'def': '19. stoljeće'}; {'def': '19. gadsimts'}; {'def': 'XIXᵉ siècle'}; {'def': '19. század'}; {'def': '19. storočie'}; {'def': '19. stoletje'}; {'def': '19ú haois'}; {'def': 'Segle XIX'}; {'def': '1800-talet'}; {'def': '19ος αιώνας'}; {'def': '19th century'}; {'def': 'XIX secolo'}; {'def': 'Siglo XIX'}; {'def': '19. sajand'}; {'def': '19. století'}; {'def': 'XIX. mendea'}; {'def': 'XIX wiek'}; {'def': '19. århundrede'}; {'def': 'Secolul al XIX-lea'}; {'def': '19e eeuw'}; {'def': 'http://www.wikidata.org/entity/Q6955'}; {'def': 'http://id.loc.gov/authorities/names/sh2002012475'}; {'def': 'http://id.loc.gov/authorities/names/sh85091984'}; {'def': 'http://id.nlm.nih.gov/mesh/D049672'}; {'def': 'https://www.freebase.com/m/08b3m'}; {'def': 'https://g.co/kg/m/08b3m'}; {'def': 'http://id.nlm.nih.gov/mesh/K01.400.504.937'}; {'def': 'http://datos.bne.es/resource/XX4343988'}; {'def': 'http://vocab.getty.edu/aat/300404513'}; {'def': 'http://babelnet.org/rdf/s02210346n'}; {'def': 'http://dbpedia.org/resource/19th_century'}; {'def': '18XX'},"Copia digital. Madrid : Ministerio de Cultura. Subdirección General de Coordinación Bibliotecaria, 2009; Carece de portada",https://bvpb.mcu.es/es/consulta/registro.do?id=406199,https://www.europeana.eu/item/109/https___hispana_mcu_es_lod_oai_bvpb_mcu_es_406199_ent0?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/109/https___hispana_mcu_es_lod_oai_bvpb_mcu_es_406199_ent0,TEXT,Hispana,Virtual Library of Bibliographical Heritage,Spain,es,armenia
"Carte Général de la Georgie et de L'Armenie : Dessinée à Petersbourg en 1738 d'apres les cartes, Memoires, Mesures et Observations des Gens du Pays : Traduit du Géorgien en François par le Secretaire du Roy de Géorgie [Mapa]; GEORGIA. Mapas generales. 1766. 1:2350000 (1738)",https://hispana.mcu.es/lod/oai:bvpb.mcu.es:441271#ent2,1766,"Comprendse las repúblicas de Georgia, Armenia y la parte septentrional de la de Azerbajan; Escalas gráficas de 100 leguas comunes de Francia de 25 al grado [18,9 cm] y 50 leguas persas de 18 al grado [=13,2 cm]. Coordenads referidas a un meridiano que no se espécifica (E 66°--E 82°/N 48°--N 38°). Red geográfica de 1° en 1°; Orografía de perfil; Se indican en tinta roja las correcciones respecti a la latitud del documento, mal hallada en principio y corregida más tarde : (N 43°--N 40°); Forma parte de la Colección Mendoza",https://bvpb.mcu.es/es/consulta/registro.do?id=441271,https://www.europeana.eu/item/109/https___hispana_mcu_es_lod_oai_bvpb_mcu_es_441271_ent0?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/109/https___hispana_mcu_es_lod_oai_bvpb_mcu_es_441271_ent0,IMAGE,Hispana,Virtual Library of Bibliographical Heritage,Spain,es,armenia
Théatre d'opérations de la campagne de 1877-78 en Arménie : [carte militaire]; ARMENIA. 1:7142857; ARMENIAN. 1: 7142857,https://hispana.mcu.es/lod/oai:bvpb.mcu.es:463376#ent4,1880,Relieve representado por sombreado; Théatre des opérations en Bulgarie ; Croquis pour le passage du Danube ; Bataille sous Nicopolis; Relief represented by shading,https://bvpb.mcu.es/es/consulta/registro.do?id=463376,https://www.europeana.eu/item/109/https___hispana_mcu_es_lod_oai_bvpb_mcu_es_463376_ent0?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/109/https___hispana_mcu_es_lod_oai_bvpb_mcu_es_463376_ent0,IMAGE,Hispana,Virtual Library of Bibliographical Heritage,Spain,es,armenia
Fotografía,,{'def': '1920/1940'}; {'def': '20. Jahrhundert'}; {'def': '1900-luku'}; {'def': 'XX век'}; {'def': 'Século XX'}; {'def': '20 век'}; {'def': 'XX amžius'}; {'def': '20. stoljeće'}; {'def': '20. gadsimts'}; {'def': 'XXe siècle'}; {'def': '20. század'}; {'def': '20. storočie'}; {'def': '20. stoletje'}; {'def': '20ú haois'}; {'def': 'Segle XX'}; {'def': '1900-talet'}; {'def': '20ός αιώνας'}; {'def': '20th century'}; {'def': 'XX secolo'}; {'def': 'Siglo XX'}; {'def': '20. sajand'}; {'def': '20. století'}; {'def': 'XX. mendea'}; {'def': 'XX wiek'}; {'def': '20. århundrede'}; {'def': 'Secolul al XX-lea'}; {'def': '20e eeuw'}; {'def': 'http://www.wikidata.org/entity/Q6927'}; {'def': 'http://id.loc.gov/authorities/names/sh2002012476'}; {'def': 'http://id.loc.gov/authorities/names/sh85139020'}; {'def': 'http://id.nlm.nih.gov/mesh/D049673'}; {'def': 'https://www.freebase.com/m/089_x'}; {'def': 'https://g.co/kg/m/089_x'}; {'def': 'http://id.nlm.nih.gov/mesh/K01.400.504.968'}; {'def': 'http://vocab.getty.edu/aat/300404514'}; {'def': 'http://id.worldcat.org/fast/1159810'}; {'def': 'http://dbpedia.org/resource/20th_century'},"Diapositiva de linterna compuesta por dos cristales, uno de ellos conteniendo la emulsión y el otro de protección, formando un sandwich. Sellados por una cinta rebordeadora.; Vista de un  edificio de planta circular a modo de torre de tres cuerpos: el primero, como un basamento; en el segundo, pared con unas entradas y unos arcos cerrados y el tercero, con cubierta cónica. Delante y apoyado sobre el edificio, se observa la figura de un personaje masculino con atuendo armenio",http://ceres.mcu.es/pages/Main?idt=102320&inventary=1982/38/C/214&table=FDOC&museum=MAN,https://www.europeana.eu/item/2022703/pages_Main_idt_102320_inventary_1982_38_C_214_table_FDOC_museum_MAN?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_102320_inventary_1982_38_C_214_table_FDOC_museum_MAN,IMAGE,Hispana,National Archaeological Museum,Spain,es,armenio
Fotografía,,{'def': '1920/1940'}; {'def': '20. Jahrhundert'}; {'def': '1900-luku'}; {'def': 'XX век'}; {'def': 'Século XX'}; {'def': '20 век'}; {'def': 'XX amžius'}; {'def': '20. stoljeće'}; {'def': '20. gadsimts'}; {'def': 'XXe siècle'}; {'def': '20. század'}; {'def': '20. storočie'}; {'def': '20. stoletje'}; {'def': '20ú haois'}; {'def': 'Segle XX'}; {'def': '1900-talet'}; {'def': '20ός αιώνας'}; {'def': '20th century'}; {'def': 'XX secolo'}; {'def': 'Siglo XX'}; {'def': '20. sajand'}; {'def': '20. století'}; {'def': 'XX. mendea'}; {'def': 'XX wiek'}; {'def': '20. århundrede'}; {'def': 'Secolul al XX-lea'}; {'def': '20e eeuw'}; {'def': 'http://www.wikidata.org/entity/Q6927'}; {'def': 'http://id.loc.gov/authorities/names/sh2002012476'}; {'def': 'http://id.loc.gov/authorities/names/sh85139020'}; {'def': 'http://id.nlm.nih.gov/mesh/D049673'}; {'def': 'https://www.freebase.com/m/089_x'}; {'def': 'https://g.co/kg/m/089_x'}; {'def': 'http://id.nlm.nih.gov/mesh/K01.400.504.968'}; {'def': 'http://vocab.getty.edu/aat/300404514'}; {'def': 'http://id.worldcat.org/fast/1159810'}; {'def': 'http://dbpedia.org/resource/20th_century'},"Diapositiva de linterna compuesta por dos cristales, uno de ellos conteniendo la emulsión y el otro de protección, formando un sandwich. Sellados por una cinta rebordeadora.; Vista de una construcción de dos cuerpos, planta poligonal, con parte de la fachada decorada con motivos geométricos, una puerta de entrada por un arco apuntado y una cubierta. Junto a éste, tres niños con atuendo armenio, dos de ellos sentados.",http://ceres.mcu.es/pages/Main?idt=102347&inventary=1982/38/C/241&table=FDOC&museum=MAN,https://www.europeana.eu/item/2022703/pages_Main_idt_102347_inventary_1982_38_C_241_table_FDOC_museum_MAN?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_102347_inventary_1982_38_C_241_table_FDOC_museum_MAN,IMAGE,Hispana,National Archaeological Museum,Spain,es,armenio
Moneda,Roma,{'def': '0032'}; {'def': '1. Jahrhundert'}; {'def': 'Ensimmäinen vuosisata'}; {'def': 'I век'}; {'def': 'Século I'}; {'def': '1 век'}; {'def': 'I amžius'}; {'def': '1. stoljeće'}; {'def': '1. gadsimts'}; {'def': 'Ier siècle'}; {'def': '1. század'}; {'def': '1. storočie'}; {'def': '1. stoletje'}; {'def': '1ú haois'}; {'def': 'Segle I'}; {'def': '000-talet'}; {'def': '1ος αιώνας'}; {'def': '1st century'}; {'def': 'I secolo'}; {'def': 'Siglo I'}; {'def': '1. sajand'}; {'def': '1. století'}; {'def': 'I. mendea'}; {'def': 'I wiek'}; {'def': '1. århundrede'}; {'def': 'Secolul I'}; {'def': '1e eeuw'}; {'def': 'http://www.wikidata.org/entity/Q8106'}; {'def': 'https://www.freebase.com/m/08bzp'}; {'def': 'https://g.co/kg/m/08bzp'}; {'def': 'http://vocab.getty.edu/aat/300404493'}; {'def': 'http://babelnet.org/rdf/s02820627n'}; {'def': 'http://dbpedia.org/resource/1st_century'},"Julio César, Marco Antonio y Cleopatra han quedado en nuestra memoria como protagonistas de uno de los episodios más apasionantes de la Historia. Sus encuentros y reencuentros, sus intereses e intrigas y, sobre todo, su trágico final terminaron por hacer de ellos un mito que ha fascinado a lo largo de generaciones. Con ellos desapareció la República romana y Egipto, milenario, llegó definitivamente a su fin, convertido en una provincia más del Imperio que Roma empezaba a construir. Quizá, por todo ello, conocer cómo eran y cuál pudo ser su apariencia física continúa siendo motivo de intriga y curiosidad.   Las acuñaciones realizadas en los últimos años de la República ofrecen una magnífica galería de retratos que permiten aproximarnos al rostro de aquéllos que marcaron el final de esta época, como un denario fechado en el año 32 a.C., en el que aparecen representados juntos Marco Antonio y Cleopatra. Esta moneda pertenece a una serie de emisiones militares realizadas en el momento en que ambos habían agrupado sus efectivos en Asia Menor y se preparaban para un inminente y definitivo enfrentamiento con Octaviano.  El anverso nos muestra la cabeza de Marco Antonio acompañada de una leyenda que recuerda su victoria en Armenia (34 a.C.), cuyo triunfo, no celebrado en Roma sino en Alejandría, había sido hábilmente utilizado por Octaviano en su descrédito. Como lo fue también la declaración de Cesarión, hijo de Cleopatra, como sucesor y heredero legítimo de César, y el de la propia Cleopatra como soberana de los territorios de Oriente con el título de reina de reyes, tal y como testimonia la inscripción que rodea su busto en el reverso de esta pieza. El retrato de Cleopatra VII, dentro del estricto tipo republicano, nos muestra una mujer severa, de nariz aguileña, vestida a la romana pero tocada con una diadema, atributo únicamente reservado a los reyes y con el que se subrayaba el carácter divino de la Reina como descendiente de la monarquía ptolemaica. Junto a su busto, una pequeña proa simboliza el apoyo naval que prestaba a Marco Antonio en su empresa contra Octaviano.   Es evidente que, al margen de los sentimientos personales, se trataba de una relación de una enorme significación política. Para Cleopatra, que con César había conseguido proclamarse reina única de Egipto, contar con Antonio suponía la posibilidad de restaurar la antigua grandeza y esplendor de los Ptolomeos. Para Antonio, Cleopatra significaba contar con las riquezas de Egipto, imprescindibles para alzarse con el poder en Roma. Sin embargo, su derrota en la batalla de Actium, frente a las costas griegas del mar Jonio, dio al traste con las esperanzas de ambos. La retirada a Alejandría y el posterior suicidio de la célebre pareja acabaron con un Estado milenario del que Cleopatra fue su última reina, al tiempo que en Roma se ponía fin a los quince años de terribles luchas que, desde el asesinato de César, habían terminado por minar el viejo sistema republicano. Mientras, Octaviano, el futuro emperador Augusto, obtenía todo el poder para sí mismo.",http://ceres.mcu.es/pages/Main?idt=110591&inventary=2015/25/8375&table=FMUS&museum=MAN,https://www.europeana.eu/item/2022703/pages_Main_idt_110591_inventary_2015_25_8375_table_FMUS_museum_MAN?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_110591_inventary_2015_25_8375_table_FMUS_museum_MAN,IMAGE,Hispana,National Archaeological Museum,Spain,es,armenia
Retablo de san Blas - Retablo,Desconocido,{'def': '14. Jahrhundert'}; {'def': 'XIV век'}; {'def': '1300-luku'}; {'def': 'Século XIV'}; {'def': '14 век'}; {'def': 'XIV amžius'}; {'def': '14. gadsimts'}; {'def': '14. stoljeće'}; {'def': 'XIVe siècle'}; {'def': '14. század'}; {'def': '14. storočie'}; {'def': '14. stoletje'}; {'def': '14ú haois'}; {'def': 'Segle XIV'}; {'def': '1300-talet'}; {'def': '14ος αιώνας'}; {'def': '14th century'}; {'def': 'XIV secolo'}; {'def': 'Siglo XIV'}; {'def': '14. sajand'}; {'def': 'XIV. mendea'}; {'def': '14. století'}; {'def': 'XIV wiek'}; {'def': 'Secolul al XIV-lea'}; {'def': '14. århundrede'}; {'def': '14e eeuw'}; {'def': 'http://id.loc.gov/authorities/names/sh85051098'}; {'def': 'https://www.freebase.com/m/08lmx'}; {'def': 'https://g.co/kg/m/08lmx'}; {'def': 'http://vocab.getty.edu/aat/300404506'}; {'def': 'http://dbpedia.org/resource/14th_century'}; {'def': 'http://www.wikidata.org/entity/Q7034'}; {'def': '1400'},"Tabla que formó parte de un retablo o del frontal de un altar románico. Muestra pasajes de la vida y martirio de San Blas, obispo de Sebaste (Armenia) según la Leyenda Dorada.  - Centro: San Blas de pie bendiciendo, con los atributos de obispo.  - Superior izquierdo: San Blas domesticando a las fieras. - Superior derecho: San Blas ante el prefecto de Roma.  - Inferior izquierdo: San Blas, preso, recibe la visita de una mujer que le lleva la cabeza de un cerdo como alimento, agradeciendo así que el santo había salvado al animal de las fauces de un lobo. - Inferior derecho: dos sayones desgarran las carnes de San Blas. Las escenas están enmarcadas por bandas ornamentales con motivos geométricos y con textos muy deteriorados en la parte inferior.  Composición y realización sencillas, siguiendo fórmulas de estilo franco gótico. Obra de un taller de probable procedencia Navarra (Pamplona) o castellana (Nájera - San Millán), puede ponerse en relación con las pinturas del Maestro de la iglesia de San Nicolás de Pamplona.",http://ceres.mcu.es/pages/Main?idt=121722&inventary=CE000050&table=FMUS&museum=MNANA,https://www.europeana.eu/item/2022703/pages_Main_idt_121722_inventary_CE000050_table_FMUS_museum_MNANA?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_121722_inventary_CE000050_table_FMUS_museum_MNANA,IMAGE,Hispana,Museum of Navarra,Spain,es,armenia
Martirio de San Bartolomé - Cuadro,"Bocanegra, Pedro Atanasio (Lugar de nacimiento: Granada, 1638 - Lugar de defunción: Granada, 1689)",{'def': '17. Jahrhundert'}; {'def': '1600-luku'}; {'def': 'XVII век'}; {'def': 'Século XVII'}; {'def': '17 век'}; {'def': 'XVII amžius'}; {'def': '17. stoljeće'}; {'def': '17. gadsimts'}; {'def': 'XVIIe siècle'}; {'def': '17. század'}; {'def': '17. storočie'}; {'def': '17. stoletje'}; {'def': '17ú haois'}; {'def': 'Segle XVII'}; {'def': '1600-talet'}; {'def': '17ος αιώνας'}; {'def': 'Seklu XVII'}; {'def': '17th century'}; {'def': 'XVII secolo'}; {'def': 'Siglo XVII'}; {'def': '17. sajand'}; {'def': '17. století'}; {'def': 'XVII. mendea'}; {'def': 'XVII wiek'}; {'def': '17. århundrede'}; {'def': 'Secolul al XVII-lea'}; {'def': '17e eeuw'}; {'def': 'http://www.wikidata.org/entity/Q7016'}; {'def': 'http://id.loc.gov/authorities/names/sh85120427'}; {'def': 'http://data.bnf.fr/ark:/12148/cb120419182'}; {'def': 'http://id.nlm.nih.gov/mesh/D049670'}; {'def': 'https://www.freebase.com/m/08b2m'}; {'def': 'https://g.co/kg/m/08b2m'}; {'def': 'http://id.nlm.nih.gov/mesh/K01.400.504.750'}; {'def': 'http://vocab.getty.edu/aat/300404511'}; {'def': 'http://babelnet.org/rdf/s02814624n'}; {'def': 'http://dbpedia.org/resource/17th_century'}; {'def': '1671/1676'},"Representación del martirio de San Bartolomé Apóstol. Según la tradición predicó en la India, Egipto y Armenia, donde encontró la muerte, según unos decapitado, y según otras versiones fue desollado vivo y luego crucificado, con la cabeza hacia abajo, por órdenes de Astyages, por haber convertido a su hermano Polymus, Rey de Armenia. Aparece el Apóstol atado a un árbol rodeado por dos personajes que lo están despellejando. Está arrodillado sobre un pedrusco, con uno de sus brazos atado al árbol, mientras un personaje le despelleja el costado. El otro le sujeta el brazo a la vez que le clava el cuchillo. Sobre la cabeza del santo, representado de avanzada edad con pelo y barba canosos y semidesnudo, un ángel niño al que mira, le ofrece la corona y la palma del martirio.  Los que lo martirizan están representados con trajes de época, con especial atención a los gestos de ensañamiento, y a la calidad en la representación de las telas, como en el jubón del personaje de la izquierda, como es habitual en la representación de personajes secundarios de la Pasión de Cristo o de escenas de martirio.  Pese a ser una escena usual el la iconografía cristiana, son pocas las obras de ámbito granadino que representen este tema, por lo que debió servirse de estampas o de composiciones usadas en temáticas profanas como el Apolo y Marsias, en el que el Dios despelleja sin piedad al fauno.",http://ceres.mcu.es/pages/Main?idt=122005&inventary=CE0189&table=FMUS&museum=MBAGR,https://www.europeana.eu/item/2022703/pages_Main_idt_122005_inventary_CE0189_table_FMUS_museum_MBAGR?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_122005_inventary_CE0189_table_FMUS_museum_MBAGR,IMAGE,Hispana,Granada Fine Arts Museum,Spain,es,armenia
Martirio de San Bartolomé - Cuadro,"Anónimo Copia de; Ribera, José de (Lugar de nacimiento: Játiva, 1591 - Lugar de defunción: Nápoles, 1652) [Se trata de una copia antigua de una composición de Ribera que se conserva en el Museo de Arte Antiguo de Lisboa.]",{'def': '1620/1626'}; {'def': '17. Jahrhundert'}; {'def': '1600-luku'}; {'def': 'XVII век'}; {'def': 'Século XVII'}; {'def': '17 век'}; {'def': 'XVII amžius'}; {'def': '17. stoljeće'}; {'def': '17. gadsimts'}; {'def': 'XVIIe siècle'}; {'def': '17. század'}; {'def': '17. storočie'}; {'def': '17. stoletje'}; {'def': '17ú haois'}; {'def': 'Segle XVII'}; {'def': '1600-talet'}; {'def': '17ος αιώνας'}; {'def': 'Seklu XVII'}; {'def': '17th century'}; {'def': 'XVII secolo'}; {'def': 'Siglo XVII'}; {'def': '17. sajand'}; {'def': '17. století'}; {'def': 'XVII. mendea'}; {'def': 'XVII wiek'}; {'def': '17. århundrede'}; {'def': 'Secolul al XVII-lea'}; {'def': '17e eeuw'}; {'def': 'http://www.wikidata.org/entity/Q7016'}; {'def': 'http://id.loc.gov/authorities/names/sh85120427'}; {'def': 'http://data.bnf.fr/ark:/12148/cb120419182'}; {'def': 'http://id.nlm.nih.gov/mesh/D049670'}; {'def': 'https://www.freebase.com/m/08b2m'}; {'def': 'https://g.co/kg/m/08b2m'}; {'def': 'http://id.nlm.nih.gov/mesh/K01.400.504.750'}; {'def': 'http://vocab.getty.edu/aat/300404511'}; {'def': 'http://babelnet.org/rdf/s02814624n'}; {'def': 'http://dbpedia.org/resource/17th_century'},"El martirio de San Bartolomé es uno de los temas preferidos en la escuela española del siglo XVII y especialmente empleado por Ribera que lo repite en distintas ocasiones. Pensemos que en las Academias, la figura de San Bartolomé se utilizaba como modelo para sus anatomías, eran los famosos ecorchés.  La iconografía elegida por Ribera responde a la tradición oriental en la que el santo tras la muerte de Cristo habría evangelizado en Arabia, Mesopotamia y Armenia en donde, según el martirologio romano, habría sido desollado vivo por mandato de Astiajes. La figura del santo en diagonal nos ofrece una composición abierta tan característica del maestro, en la que contrasta la crudeza con que se trata al santo y a su verdugo con las figuras idealizadas del primer término.",http://ceres.mcu.es/pages/Main?idt=122130&inventary=0313&table=FMUS&museum=MRABASF,https://www.europeana.eu/item/2022703/pages_Main_idt_122130_inventary_0313_table_FMUS_museum_MRABASF?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_122130_inventary_0313_table_FMUS_museum_MRABASF,IMAGE,Hispana,Museum of the Royal Academy of Fine Arts of San Fernando,Spain,es,armenia
Brasero,,{'def': '12. Jahrhundert'}; {'def': '11. Jahrhundert'}; {'def': 'XII век'}; {'def': 'XI век'}; {'def': '1100-luku'}; {'def': '1000-luku'}; {'def': 'Século XII'}; {'def': 'Século XI'}; {'def': '12 век'}; {'def': '11 век'}; {'def': 'XII amžius'}; {'def': 'XI amžius'}; {'def': '12. gadsimts'}; {'def': '11. gadsimts'}; {'def': '12. stoljeće'}; {'def': '11. stoljeće'}; {'def': 'XIIe siècle'}; {'def': 'XIe siècle'}; {'def': '12. század'}; {'def': '11. század'}; {'def': '12. storočie'}; {'def': '11. storočie'}; {'def': '12. stoletje'}; {'def': '11. stoletje'}; {'def': '12ú haois'}; {'def': '11ú haois'}; {'def': 'Segle XII'}; {'def': 'Segle XI'}; {'def': '1100-talet'}; {'def': '1000-talet'}; {'def': '12ος αιώνας'}; {'def': '11ος αιώνας'}; {'def': '12th century'}; {'def': '11th century'}; {'def': 'XII secolo'}; {'def': 'XI secolo'}; {'def': 'Siglo XII'}; {'def': 'Siglo XI'}; {'def': '12. sajand'}; {'def': '11. sajand'}; {'def': 'XII. mende'}; {'def': 'XI. mendea'}; {'def': '12. století'}; {'def': '11. století'}; {'def': 'XII wiek'}; {'def': 'XI wiek'}; {'def': 'Secolul al XII-lea'}; {'def': 'Secolul al XI-lea'}; {'def': '12. århundrede'}; {'def': '11. århundrede'}; {'def': '12e eeuw'}; {'def': '11e eeuw'}; {'def': 'http://id.loc.gov/authorities/names/sh85139013'}; {'def': 'https://www.freebase.com/m/08c6k'}; {'def': 'https://g.co/kg/m/08c6k'}; {'def': 'http://vocab.getty.edu/aat/300404504'}; {'def': 'http://babelnet.org/rdf/s02822307n'}; {'def': 'http://dbpedia.org/resource/12th_century'}; {'def': 'http://www.wikidata.org/entity/Q7061'}; {'def': 'http://id.loc.gov/authorities/names/sh85042563'}; {'def': 'https://www.freebase.com/m/08c71'}; {'def': 'https://g.co/kg/m/08c71'}; {'def': 'http://vocab.getty.edu/aat/300404503'}; {'def': 'http://dbpedia.org/resource/11th_century'}; {'def': 'http://www.wikidata.org/entity/Q7063'}; {'def': '1086/1145'},"Brasero probablemente almorávide, en bronce o cobre o latón, con las patas decoradas por figuras de cabeza de caballo. Perteneció a la colección de Manuel Gómez-Moreno Martínez y se desconoce su lugar de procedencia original. De pequeño tamaño, consta de un recipiente acuencado, para contener las brasas, y de tres patas de soporte, dispuestas en triángulo. Se conserva la pieza en relativo buen estado, si bien ha perdido parte del borde y de la pared del recipiente, y tiene una restauración con chapa de hierro, al parecer de antiguo. El material original, a falta del análisis en laboratorio, se ha dicho que sería de latón o de cobre o de bronce batido (ZOZAYA, 1995) El recipiente acuencado, de lámina de metal fina, presenta perfil semicircular liso, con borde en ala estrecha horizontal. La superficie carece de decoración alguna. Las patas se unen al recipiente por su exterior mediante dos remaches cada una. Así, uno de los remaches se encuentra próximo al centro del solero del recipiente, mientras que el otro está por debajo de su borde.  Cada pata consiste en una barrita maciza de sección poligonal y de forma acodada, que presenta como base una bola con moldura por encima y, como remate superior, la figura del cuello y cabeza de un caballo. Estas figuras sobresalen por lo alto del borde del recipiente. En los rasgos estilizados del animal resaltan el hocico alargado y la boca entreabierta.   Del pecho de uno de los caballos sale una espiga de sección cuadrada en la que probablemente se insertaría un mango de madera.   En la documentación histórica de la pieza en el Museo de la Alhambra se catalogó la misma como de época almorávide, y así se ha publicado en fecha reciente (SÁNCHEZ GÓMEZ et álii, 2018). Sin embargo, Juan Zozaya (1995) la ha considerado de producción norteafricana, de finales del siglo XIV y principios del XV. No obstante, la carencia de contexto arqueológico, procedencia y decoración distintiva dificulta poder aportar una datación más precisa (SÁNCHEZ GÓMEZ et álii, 2018). Un brasero de formato relativamente parecido, aunque de mayor tamaño -41 cm de diámetro-, se conserva en el Instituto de Valencia de Don Juan, en Madrid (número de inventario 3076), provisto de cadenitas que van del platillo a la base de las patas y con figuras de caballitos en el borde del platillo. Esta pieza la adscribieron M. Gómez-Moreno Martínez (1951) y L. Torres Balbás (1957) a la época califal. J. Zozaya (2010) consideró que sus precedentes serían armenio-bizantinos y del siglo VIII. Por su parte Rafael Azuar (2012) dedujo ciertos problemas de identificación por tratarse de una pieza procedente del mercado de antigüedades, y propuso que podría tratarse de un brasero de procedencia medio-oriental, de época tardoantigua, con elementos o piezas islámicas del siglo XI y recompuesto a finales de la Edad Media. Como antecedente tipológico de época romana, cabe destacar una pieza de bronce catalogada como quemaperfumes y hallada en Mérida (CE08225 del Museo Nacional de Arte Romano de Mérida). El brasero aquí tratado, según su documentación en el Museo de la Alhambra, perteneció a la colección de Manuel Gómez-Moreno Martínez, lo compró el Patronato de la Alhambra en el mercado y fue asentado en el libro de registro de su Museo el 3 de mayo de 1956.",http://ceres.mcu.es/pages/Main?idt=122209&inventary=002917&table=FMUS&museum=MALHGR,https://www.europeana.eu/item/2022703/pages_Main_idt_122209_inventary_002917_table_FMUS_museum_MALHGR?utm_source=api&utm_medium=api&utm_campaign=EUXJPHJGES,/2022703/pages_Main_idt_122209_inventary_002917_table_FMUS_museum_MALHGR,IMAGE,Hispana,Alhambra Museum,Spain,es,armenio
